cep_ini,cep_fim,cidade,uf,prazo,peso5,peso10,peso20,peso40,peso60,peso100,excedente_kg,gris_min,gris_pct,tas,pedagio_fixo,pedagio_fracao_kg
69945000,69949999,ACRELANDIA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69935000,69939999,ASSIS BRASIL,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69932000,69933999,BRASILEIA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69926000,69926999,BUJARI,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69931000,69931999,CAPIXABA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69980000,69981999,CRUZEIRO DO SUL,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69934000,69934999,EPITACIOLANDIA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69960000,69969999,FEIJO,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69975000,69979999,JORDAO,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69990000,69999999,MANCIO LIMA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69950000,69954999,MANOEL URBANO,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69983000,69984999,MARECHAL THAUMATURGO,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69928000,69929999,PLACIDO DE CASTRO,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69927000,69927999,PORTO ACRE,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69982000,69982999,PORTO WALTER,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69900000,69924999,RIO BRANCO,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69985000,69989999,RODRIGUES ALVES,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69955000,69959999,SANTA ROSA DO PURUS,AC,22,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69940000,69944999,SENA MADUREIRA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69925000,69925999,SENADOR GUIOMARD,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69970000,69974999,TARAUACA,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69930000,69930999,XAPURI,AC,16,252.91,316.13,327.43,447.66,513.2,688.13,6.88,3.12,0.003,11.63,8.89,100
69540000,69549999,ALVARAES,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69620000,69629999,AMATURA,AM,27,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69445000,69449999,ANAMA,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69440000,69444999,ANORI,AM,25,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69265000,69279999,APUI,AM,11,188.76,235.95,244.16,500.15,573,787.87,7.88,3.12,0.003,11.63,8.89,100
69650000,69659999,ATALAIA DO NORTE,AM,32,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69240000,69249999,AUTAZES,AM,24,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69700000,69719999,BARCELOS,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
69160000,69179999,BARREIRINHA,AM,22,709.32,886.64,917.53,,,,16.15,3.12,0.003,11.63,8.89,100
